filter_id,row_count,middle_maintain_count,major_maintain_count,date_start,date_end,date_missing_count,invalid_type_count,duplicate_record_count,min_gap_days,max_gap_days,same_day_duplicate_count
A1,12,10,2,2024-05-18,2026-03-07,0,0,0,47.0,78.0,0
A10,13,10,3,2024-05-25,2026-03-26,0,0,0,37.0,75.0,0
A2,12,9,3,2024-06-04,2026-03-12,0,0,0,42.0,79.0,0
A3,13,11,2,2024-05-29,2026-04-05,0,0,0,35.0,75.0,0
A4,13,13,0,2024-05-28,2026-03-12,0,0,0,33.0,67.0,0
A5,13,12,1,2024-05-19,2026-04-03,0,0,0,35.0,79.0,0
A6,12,10,2,2024-06-06,2026-03-25,0,0,0,38.0,82.0,0
A7,13,11,2,2024-05-18,2026-03-25,0,0,0,35.0,82.0,0
A8,13,13,0,2024-06-02,2026-03-31,0,0,0,41.0,82.0,0
A9,13,11,2,2024-05-30,2026-04-01,0,0,0,37.0,74.0,0
