filter_id,source_sheet,row_count,field_names,time_start,time_end,time_missing_count,per_missing_count,per_missing_ratio,duplicate_row_count,duplicate_timestamp_count,valid_per_count,per_min,per_max,per_mean,per_std,iqr_lower,iqr_upper,iqr_outlier_count,non_hour_timestamp_count,sub_hour_gap_count,gap_gt_24h_count,gap_gt_72h_count,min_gap_hours,median_gap_hours,max_gap_hours
A1,A_1,10839,"time,per",2024-04-03 01:00:05,2026-04-10 22:00:00,0,457,0.04216256112187471,0,0,10382,38.6385107329374,140.370353586497,91.51022739860032,15.146554054169282,55.160982166793985,131.2903223645688,408,2637,103,21,4,0.0002777777777777778,1.0,360.00111111111113
A10,A_10,10743,"time,per",2024-04-04 21:00:05,2026-04-11 18:00:00,0,379,0.035278786186353904,0,0,10364,26.4309793605295,180.0,94.84720875886634,28.207181969360448,16.30619239281362,179.36315003855742,5,2651,99,14,3,0.0002777777777777778,1.0,359.00111111111113
A2,A_2,11125,"time,per",2024-04-03 02:00:05,2026-04-10 18:00:00,0,406,0.03649438202247191,0,0,10719,28.0564208372709,121.718689733117,73.7308195076608,12.94395250422657,38.90503638675585,110.02432341559569,38,2552,102,18,2,0.0002777777777777778,1.0,359.00111111111113
A3,A_3,11921,"time,per",2024-04-03 01:00:05,2026-04-10 18:00:00,0,409,0.034309202248133545,0,0,11512,51.501996929975,154.568830938815,93.64000281520399,15.60506658154999,48.72807984162138,136.01433769639755,11,2582,100,14,4,0.0002777777777777778,1.0,359.00111111111113
A4,A_4,11675,"time,per",2024-04-03 01:00:05,2026-04-10 18:00:00,0,445,0.038115631691648826,0,0,11230,31.5564611640717,143.747564348607,91.99674834274705,18.641086510248112,50.53272511927419,136.01267115073068,779,2636,105,17,6,0.0002777777777777778,1.0,359.00111111111113
A5,A_5,12162,"time,per",2024-04-03 01:00:05,2026-04-10 18:00:00,0,458,0.037658279888176285,0,0,11704,34.5337866077768,149.81116766406,93.13756125907108,19.96124240960848,56.00631782547582,137.67853144635052,921,2750,106,14,2,0.0002777777777777778,1.0,359.00111111111113
A6,A_6,11806,"time,per",2024-04-03 01:00:05,2026-04-10 18:00:00,0,462,0.03913264441809249,0,0,11344,28.646090817474,155.921773856801,74.02824854550171,22.03552779186958,8.89768451876217,139.9602396172905,3,2622,104,22,4,0.0002777777777777778,1.0,366.00111111111113
A7,A_7,11976,"time,per",2024-04-04 21:00:05,2026-04-10 18:00:00,0,456,0.03807615230460922,0,0,11520,39.40537368734,158.571024616352,89.90444724386073,13.559423989196187,62.97097689001251,120.33486105182968,652,2692,108,17,3,0.0002777777777777778,1.0,359.00111111111113
A8,A_8,11507,"time,per",2024-04-04 21:00:05,2026-04-10 18:00:00,0,418,0.03632571478230642,0,0,11089,37.6306352761806,165.146955934656,95.53847667625016,18.81658376354111,49.838799960933265,141.37629384667684,88,2683,105,11,3,0.0002777777777777778,1.0,371.00111111111113
A9,A_9,11223,"time,per",2024-04-04 21:00:05,2026-04-10 18:00:00,0,455,0.04054174463156019,0,0,10768,44.1879616843416,139.389191501083,82.31690222758702,12.540178579414343,46.379700794597234,118.83489048540946,7,2628,101,16,4,0.0002777777777777778,1.0,373.00111111111113
